keyword,volumen_es,volumen_mx,volumen_ar,kd,intencion,url_destino,prioridad
murdoku,33100,n.d.,9900,35,navegacional,/juegos-como-murdoku,P0
murdoku online,9900,2400,2900,29,informacional-jugar,/juegos-como-murdoku/online,P0
jugar murdoku online,480,n.d.,n.d.,13,navegacional-jugar,/juegos-como-murdoku/online,P0
murdoku on line,480,n.d.,n.d.,33,informacional-jugar,/juegos-como-murdoku/online,P0
murdoku play,390,n.d.,n.d.,31,navegacional,/juegos-como-murdoku/online,P0
murdoku online espanol,260,n.d.,n.d.,26,informacional-jugar,/juegos-como-murdoku/online,P0
murdoku jugar,110,n.d.,n.d.,0,navegacional-jugar,/juegos-como-murdoku/online,P0
murdoku online gratis,90,n.d.,n.d.,33,informacional-jugar,/juegos-como-murdoku/online,P0
murdoku.com,260,n.d.,n.d.,39,navegacional,/juegos-como-murdoku,P1
murdoku en espanol,2400,1000,260,30,informacional,/juegos-como-murdoku/en-espanol,P0
murdoku espanol,390,n.d.,n.d.,23,informacional,/juegos-como-murdoku/en-espanol,P0
murdoku en espanol online,140,n.d.,n.d.,33,informacional-jugar,/juegos-como-murdoku/en-espanol,P0
murdoku online en espanol,70,n.d.,n.d.,0,informacional-jugar,/juegos-como-murdoku/en-espanol,P0
murdoku espanol online,70,n.d.,n.d.,0,informacional-jugar,/juegos-como-murdoku/en-espanol,P0
murdoku gratis,1900,n.d.,n.d.,41,informacional-jugar,/juegos-como-murdoku/gratis,P0
murdoku juego gratis,1900,n.d.,n.d.,36,informacional-jugar,/juegos-como-murdoku/gratis,P0
murdoku en espanol gratis,1600,n.d.,n.d.,25,informacional-jugar,/juegos-como-murdoku/gratis,P0
descargar murdoku gratis,1300,n.d.,n.d.,30,transaccional-app,/juegos-como-murdoku/sin-descargar,P0
murdoku descargar gratis,170,n.d.,n.d.,0,transaccional-app,/juegos-como-murdoku/sin-descargar,P0
murdoku app,140,n.d.,n.d.,33,transaccional-app,/juegos-como-murdoku/sin-descargar,P0
murdoku en espanol app,90,n.d.,n.d.,0,transaccional-app,/juegos-como-murdoku/sin-descargar,P0
murdoku android,0,n.d.,n.d.,0,transaccional-app,/juegos-como-murdoku/sin-descargar,P1
como se juega al murdoku,320,n.d.,n.d.,30,informacional,/juegos-como-murdoku/como-se-juega,P0
murdoku como jugar,170,n.d.,n.d.,0,informacional,/juegos-como-murdoku/como-se-juega,P0
reglas murdoku,140,n.d.,n.d.,0,informacional,/juegos-como-murdoku/como-se-juega,P0
murdoku reglas,20,n.d.,n.d.,0,informacional,/juegos-como-murdoku/como-se-juega,P0
murdoku instrucciones,40,n.d.,n.d.,0,informacional,/juegos-como-murdoku/como-se-juega,P0
que es murdoku,10,n.d.,n.d.,0,informacional-GEO,/juegos-como-murdoku,P0
murdoku pdf,2400,1600,1300,33,informacional-descarga,/juegos-como-murdoku/para-imprimir,P1
murdoku en espanol para imprimir,210,n.d.,n.d.,28,transaccional,/juegos-como-murdoku/para-imprimir,P0
murdoku para imprimir,140,n.d.,n.d.,0,transaccional,/juegos-como-murdoku/para-imprimir,P0
murdoku pdf espanol,110,n.d.,n.d.,27,informacional-descarga,/juegos-como-murdoku/para-imprimir,P1
murdoku libro pdf,140,n.d.,n.d.,27,informacional-descarga,/juegos-como-murdoku/para-imprimir,P2
murdoku pdf gratis,70,n.d.,n.d.,16,informacional-descarga,/juegos-como-murdoku/para-imprimir,P1
murdoku para ninos,210,n.d.,n.d.,0,informacional,/juegos-como-murdoku/para-ninos,P1
murdoku ninos,140,n.d.,n.d.,0,informacional,/juegos-como-murdoku/para-ninos,P1
murdoku edad recomendada,70,n.d.,n.d.,0,informacional,/juegos-como-murdoku/para-ninos,P1
murdoku para que edad es,70,n.d.,n.d.,0,informacional,/juegos-como-murdoku/para-ninos,P1
murdoku facil,170,n.d.,n.d.,0,informacional-jugar,/juegos-como-murdoku/faciles,P1
murdoku soluciones,140,n.d.,n.d.,28,informacional,/caso/AAAA-MM-DD/solucion,P2
murdoku diario,0,n.d.,n.d.,0,informacional-jugar,/archivo,P1
trucos murdoku,10,n.d.,n.d.,0,informacional,/guias,P1
murdle,3600,10,n.d.,20,navegacional-libro,/juegos-como-murdle,P1
murdle online,170,n.d.,n.d.,0,informacional-jugar,/juegos-como-murdle,P1
murdle espanol,70,n.d.,n.d.,20,informacional,/juegos-como-murdle,P1
murdle espanol online,70,n.d.,n.d.,0,informacional-jugar,/juegos-como-murdle,P1
murdle en espanol,20,n.d.,n.d.,0,informacional,/juegos-como-murdle,P1
murdle juego,40,n.d.,n.d.,17,informacional-jugar,/juegos-como-murdle,P1
murdle resuelve el crimen,1300,n.d.,n.d.,22,informacional-libro,/juegos-como-murdle,P2
juegos de deduccion,20,n.d.,n.d.,0,informacional,/expediente,P1
