keyword,volumen,kd,cpc,intencion,tendencia_12m,familia,producto_que_la_satisface,prioridad,fuente
murdoku,33100,35,sin_medir,navegacional,explosiva,marca-murdoku,Escena lunes El corto 4x4,P0,semrush-es-2026-09-05
murdoku online,9900,29,sin_medir,informacional-jugar,explosiva,marca-murdoku,Escena lunes El corto 4x4,P0,semrush-es-2026-09-05
murdoku en espanol,2400,30,sin_medir,informacional,explosiva,marca-murdoku,Escena lunes El corto 4x4,P0,semrush-es-2026-09-05
murdoku pdf,2400,33,sin_medir,informacional-descarga,explosiva,imprimible-pdf,Packs PDF (Expediente A4),P1,semrush-es-2026-09-05
murdoku gratis,1900,41,sin_medir,informacional-jugar,sin_medir,marca-murdoku,Escena lunes El corto 4x4,P0,semrush-es-2026-09-05
murdoku juego gratis,1900,36,sin_medir,informacional-jugar,sin_medir,marca-murdoku,Escena lunes El corto 4x4,P0,semrush-es-2026-09-05
murdoku en espanol gratis,1600,25,sin_medir,informacional-jugar,sin_medir,marca-murdoku,Escena lunes El corto 4x4,P0,semrush-es-2026-09-05
descargar murdoku gratis,1300,30,sin_medir,transaccional-app,sin_medir,marca-murdoku,PWA instalable en 2 toques,P0,semrush-es-2026-09-05
jugar murdoku online,480,13,sin_medir,navegacional-jugar,sin_medir,marca-murdoku,Escena lunes El corto 4x4,P0,semrush-es-2026-09-05
murdoku on line,480,33,sin_medir,informacional-jugar,sin_medir,marca-murdoku,Escena lunes El corto 4x4,P0,semrush-es-2026-09-05
murdoku play,390,31,sin_medir,navegacional,sin_medir,marca-murdoku,Escena lunes El corto 4x4,P0,semrush-es-2026-09-05
murdoku espanol,390,23,sin_medir,informacional,sin_medir,marca-murdoku,Escena lunes El corto 4x4,P0,semrush-es-2026-09-05
como se juega al murdoku,320,30,sin_medir,informacional,sin_medir,marca-murdoku,Reconstruccion + escalafon,P0,semrush-es-2026-09-05
murdoku.com,260,39,sin_medir,navegacional,sin_medir,marca-murdoku,Ninguno - no atacar,no-atacar,semrush-es-2026-09-05
murdoku online espanol,260,26,sin_medir,informacional-jugar,sin_medir,marca-murdoku,Escena lunes El corto 4x4,P0,semrush-es-2026-09-05
murdoku para ninos,210,0,sin_medir,informacional,nueva,ninos-aula,Escena viernes De disparate (sin fallecidos),P1,semrush-es-2026-09-05
murdoku en espanol para imprimir,210,28,sin_medir,transaccional,sin_medir,imprimible-pdf,Packs PDF (Expediente A4),P0,semrush-es-2026-09-05
murdoku facil,170,0,sin_medir,informacional-jugar,nueva,marca-murdoku,Escena vistazo 3x3,P1,semrush-es-2026-09-05
murdoku como jugar,170,0,sin_medir,informacional,sin_medir,marca-murdoku,Reconstruccion + escalafon,P0,semrush-es-2026-09-05
murdoku descargar gratis,170,0,sin_medir,transaccional-app,sin_medir,marca-murdoku,PWA instalable en 2 toques,P0,semrush-es-2026-09-05
reglas murdoku,140,0,sin_medir,informacional,sin_medir,marca-murdoku,Reconstruccion + escalafon,P0,semrush-es-2026-09-05
murdoku para imprimir,140,0,sin_medir,transaccional,sin_medir,imprimible-pdf,Packs PDF (Expediente A4),P0,semrush-es-2026-09-05
murdoku app,140,33,sin_medir,transaccional-app,sin_medir,marca-murdoku,PWA instalable en 2 toques,P0,semrush-es-2026-09-05
murdoku ninos,140,0,sin_medir,informacional,sin_medir,ninos-aula,Escena viernes De disparate (sin fallecidos),P1,semrush-es-2026-09-05
murdoku soluciones,140,28,sin_medir,informacional,sin_medir,marca-murdoku,Reconstruccion + escalafon,P1,semrush-es-2026-09-05
murdoku 2,140,0,sin_medir,navegacional,sin_medir,marca-murdoku,Escena lunes El corto 4x4,P1,semrush-es-2026-09-05
murdoku libro pdf,140,27,sin_medir,informacional-descarga,sin_medir,imprimible-pdf,Ninguno - no atacar (intencion de libro ajeno),no-atacar,semrush-es-2026-09-05
murdoku en espanol online,140,33,sin_medir,informacional-jugar,sin_medir,marca-murdoku,Escena lunes El corto 4x4,P0,semrush-es-2026-09-05
murdoku pdf espanol,110,27,sin_medir,informacional-descarga,sin_medir,imprimible-pdf,Packs PDF (Expediente A4),P1,semrush-es-2026-09-05
murdoku jugar,110,0,sin_medir,navegacional-jugar,sin_medir,marca-murdoku,Escena lunes El corto 4x4,P0,semrush-es-2026-09-05
murdoku en espanol app,90,0,sin_medir,transaccional-app,sin_medir,marca-murdoku,PWA instalable en 2 toques,P0,semrush-es-2026-09-05
murdoku online gratis,90,33,sin_medir,informacional-jugar,sin_medir,marca-murdoku,Escena lunes El corto 4x4,P0,semrush-es-2026-09-05
