keyword,pais,volumen,kd,cpc,intencion,tendencia_12m,familia,producto_que_la_satisface,prioridad,fuente
acertijos,mx,22200,sin dato,sin dato,informacional-listado,sin dato,generico-categoria,Escena (hub /acertijos con acertijos propios jugables),P2,semrush 2026-09-05
enigmas,mx,14800,sin dato,sin dato,informacional-listado,sin dato,generico-categoria,Escena (hub /enigmas jugable),P2,semrush 2026-09-05
pasatiempos,mx,6600,sin dato,sin dato,por verificar (en ES es navegacional-medios),sin dato,generico-medios,Licencia a medios (/para-medios),P2,semrush 2026-09-05
murdoku online,mx,2400,30,sin dato,informacional-jugar,sin dato,marca-ajena-murdoku,Escena (caso del dia),P0,semrush 2026-09-05
juegos diarios,mx,2400,sin dato,sin dato,navegacional-mixta,sin dato,generico-categoria,Escena+Expediente (/juegos-diarios),P1,semrush 2026-09-05
murdoku pdf,mx,1600,34,sin dato,informacional-descarga (parte intencion libro pirata),sin dato,marca-ajena-murdoku,Packs PDF propios,P1,semrush 2026-09-05
juegos de misterio,mx,1300,sin dato,sin dato,informacional,sin dato,generico-categoria,Escena (/juegos-de-misterio),P1,semrush 2026-09-05
murdoku en espanol,mx,1000,32,sin dato,informacional-jugar,sin dato,marca-ajena-murdoku,Escena (caso del dia),P0,semrush 2026-09-05
wordle espanol,mx,1000,sin dato,sin dato,navegacional,sin dato,referencia-techo,Ninguno (no atacar),P2,semrush 2026-09-05
juegos de detectives,mx,880,sin dato,sin dato,informacional,sin dato,generico-categoria,Escena (/juegos-de-detectives),P1,semrush 2026-09-05
juegos para pensar,mx,720,sin dato,sin dato,informacional,sin dato,generico-categoria,Escena+Expediente,P2,semrush 2026-09-05
acertijos de logica,mx,390,sin dato,sin dato,informacional,sin dato,generico-categoria,Escena (/acertijos),P2,semrush 2026-09-05
juegos de logica para ninos,mx,210,sin dato,sin dato,informacional-educacion,sin dato,educacion,Escena infantil 4x4 + Packs PDF,P1,semrush 2026-09-05
juegos de logica,mx,140,sin dato,sin dato,informacional,sin dato,generico-categoria,Escena+Expediente (/juegos-de-logica),P1,semrush 2026-09-05
cluedo online,mx,110,sin dato,sin dato,informacional-jugar,sin dato,marca-ajena-cluedo (riesgo Hasbro),Escena (/juegos-de-detectives como alternativa segura),P2,semrush 2026-09-05
pasatiempos para imprimir,mx,110,sin dato,sin dato,transaccional,sin dato,imprimibles,Packs PDF propios,P1,semrush 2026-09-05
juegos de logica online,mx,30,sin dato,sin dato,informacional-jugar,sin dato,generico-categoria,Escena (/juegos-de-logica),P1,semrush 2026-09-05
murdle,mx,10,sin dato,sin dato,navegacional-libro,sin dato,marca-ajena-murdle,Expediente,P2,semrush 2026-09-05
murdoku,mx,sin dato,sin dato,sin dato,navegacional,sin dato,marca-ajena-murdoku,Escena (caso del dia),P0,semrush 2026-09-05 (la base mx no devolvio dato; VERIFICAR: es la anomalia central del mercado mexicano)
murdoku,ar,9900,29,sin dato,navegacional,sin dato,marca-ajena-murdoku,Escena (caso del dia),P0,semrush 2026-09-05
enigmas,ar,9900,sin dato,sin dato,informacional-listado,sin dato,generico-categoria,Escena (hub /enigmas jugable),P2,semrush 2026-09-05
acertijos,ar,5400,sin dato,sin dato,informacional-listado,sin dato,generico-categoria,Escena (hub /acertijos),P2,semrush 2026-09-05
wordle espanol,ar,5400,sin dato,sin dato,navegacional,sin dato,referencia-techo,Ninguno (no atacar),P2,semrush 2026-09-05
murdoku online,ar,2900,27,sin dato,informacional-jugar,sin dato,marca-ajena-murdoku,Escena (caso del dia),P0,semrush 2026-09-05
pasatiempos,ar,2900,sin dato,sin dato,por verificar (en ES es navegacional-medios),sin dato,generico-medios,Licencia a medios (/para-medios),P2,semrush 2026-09-05
juegos diarios,ar,2400,20,sin dato,navegacional-mixta,sin dato,generico-categoria,Escena+Expediente (/juegos-diarios),P1,semrush 2026-09-05
juegos para pensar,ar,1300,sin dato,sin dato,informacional,sin dato,generico-categoria,Escena+Expediente,P2,semrush 2026-09-05
murdoku pdf,ar,1300,32,sin dato,informacional-descarga (parte intencion libro pirata),sin dato,marca-ajena-murdoku,Packs PDF propios,P1,semrush 2026-09-05
juegos de logica,ar,880,sin dato,sin dato,informacional,sin dato,generico-categoria,Escena+Expediente (/juegos-de-logica),P1,semrush 2026-09-05
juegos de detectives,ar,720,sin dato,sin dato,informacional,sin dato,generico-categoria,Escena (/juegos-de-detectives),P1,semrush 2026-09-05
murdoku en espanol,ar,260,29,sin dato,informacional-jugar,sin dato,marca-ajena-murdoku,Escena (caso del dia),P0,semrush 2026-09-05
juegos de logica para ninos,ar,170,sin dato,sin dato,informacional-educacion,sin dato,educacion,Escena infantil 4x4 + Packs PDF,P1,semrush 2026-09-05
acertijos de logica,ar,140,sin dato,sin dato,informacional,sin dato,generico-categoria,Escena (/acertijos),P2,semrush 2026-09-05
juegos de misterio,ar,110,sin dato,sin dato,informacional,sin dato,generico-categoria,Escena (/juegos-de-misterio),P1,semrush 2026-09-05
juegos de logica online,ar,30,sin dato,sin dato,informacional-jugar,sin dato,generico-categoria,Escena (/juegos-de-logica),P1,semrush 2026-09-05
cluedo online,ar,20,sin dato,sin dato,informacional-jugar,sin dato,marca-ajena-cluedo (riesgo Hasbro),Escena (/juegos-de-detectives como alternativa segura),P2,semrush 2026-09-05
pasatiempos para imprimir,ar,20,sin dato,sin dato,transaccional,sin dato,imprimibles,Packs PDF propios,P1,semrush 2026-09-05
