keyword,pais,volumen,kd,url_destino,tipo_pagina,prioridad,fase
murdoku,es,33100,35,/juegos-como-murdoku,comparativa,P0,lanzamiento
murdoku online,es,9900,29,/juegos-como-murdoku/online,landing-intencion,P0,lanzamiento
murdoku en espanol,es,2400,30,/juegos-como-murdoku/en-espanol,landing-intencion,P0,lanzamiento
murdoku pdf,es,2400,33,/juegos-como-murdoku/para-imprimir,landing-intencion,P0,lanzamiento
murdoku gratis,es,1900,41,/juegos-como-murdoku/gratis,landing-intencion,P0,lanzamiento
murdoku juego gratis,es,1900,36,/juegos-como-murdoku/gratis,landing-intencion,P0,lanzamiento
murdoku en espanol gratis,es,1600,25,/juegos-como-murdoku/gratis,landing-intencion,P0,lanzamiento
descargar murdoku gratis,es,1300,30,/juegos-como-murdoku/sin-descargar,landing-intencion,P0,lanzamiento
jugar murdoku online,es,480,13,/juegos-como-murdoku/online,landing-intencion,P0,lanzamiento
murdoku on line,es,480,33,/juegos-como-murdoku/online,landing-intencion,P0,lanzamiento
murdoku play,es,390,31,/juegos-como-murdoku/online,landing-intencion,P0,lanzamiento
murdoku espanol,es,390,23,/juegos-como-murdoku/en-espanol,landing-intencion,P0,lanzamiento
como se juega al murdoku,es,320,30,/juegos-como-murdoku/como-se-juega,guia,P0,lanzamiento
murdoku.com,es,260,39,-,no-atacar,no-atacar,no-aplica
murdoku online espanol,es,260,26,/juegos-como-murdoku/en-espanol,landing-intencion,P0,lanzamiento
murdoku para ninos,es,210,0,/juegos-como-murdoku/para-ninos,landing-intencion,P0,lanzamiento
murdoku en espanol para imprimir,es,210,28,/juegos-como-murdoku/para-imprimir,landing-intencion,P0,lanzamiento
murdoku facil,es,170,0,/juegos-como-murdoku/faciles,landing-intencion,P0,lanzamiento
murdoku como jugar,es,170,0,/juegos-como-murdoku/como-se-juega,guia,P0,lanzamiento
murdoku descargar gratis,es,170,0,/juegos-como-murdoku/sin-descargar,landing-intencion,P0,lanzamiento
reglas murdoku,es,140,0,/juegos-como-murdoku/como-se-juega,guia,P0,lanzamiento
murdoku para imprimir,es,140,0,/juegos-como-murdoku/para-imprimir,landing-intencion,P0,lanzamiento
murdoku app,es,140,33,/juegos-como-murdoku/sin-descargar,landing-intencion,P0,lanzamiento
murdoku ninos,es,140,0,/juegos-como-murdoku/para-ninos,landing-intencion,P0,lanzamiento
murdoku soluciones,es,140,28,/juegos-como-murdoku,comparativa,solo-faq,lanzamiento
murdoku 2,es,140,0,/juegos-como-murdoku,comparativa,solo-faq,lanzamiento
murdoku libro pdf,es,140,27,-,no-atacar,no-atacar,no-aplica
murdoku en espanol online,es,140,33,/juegos-como-murdoku/en-espanol,landing-intencion,P0,lanzamiento
murdoku pdf espanol,es,110,27,/juegos-como-murdoku/para-imprimir,landing-intencion,P0,lanzamiento
murdoku jugar,es,110,0,/juegos-como-murdoku/online,landing-intencion,P0,lanzamiento
murdoku en espanol app,es,90,0,/juegos-como-murdoku/sin-descargar,landing-intencion,P0,lanzamiento
murdoku online gratis,es,90,33,/juegos-como-murdoku/online,landing-intencion,P0,lanzamiento
murdoku pdf gratis,es,70,16,/juegos-como-murdoku/para-imprimir,landing-intencion,P0,lanzamiento
murdoku edad recomendada,es,70,0,/juegos-como-murdoku/para-ninos,landing-intencion,P0,lanzamiento
murdoku para que edad es,es,70,0,/juegos-como-murdoku/para-ninos,landing-intencion,P0,lanzamiento
murdoku online en espanol,es,70,0,/juegos-como-murdoku/en-espanol,landing-intencion,P0,lanzamiento
murdoku espanol online,es,70,0,/juegos-como-murdoku/en-espanol,landing-intencion,P0,lanzamiento
murdoku instrucciones,es,40,0,/juegos-como-murdoku/como-se-juega,guia,P0,lanzamiento
que es murdoku,es,10,0,/juegos-como-murdoku,comparativa,P0,lanzamiento
trucos murdoku,es,10,0,/tecnicas,guia,P1,mes-2-3
murdoku diario,es,0,0,/archivo,archivo,P1,lanzamiento
murdoku android,es,0,0,/juegos-como-murdoku/sin-descargar,landing-intencion,P1,lanzamiento
juegos como murdoku,es,0,sin_medir,/juegos-como-murdoku,comparativa,P0,lanzamiento
alternativas a murdoku,es,0,sin_medir,/juegos-como-murdoku,comparativa,P0,lanzamiento
juegos parecidos a murdoku,es,0,sin_medir,/juegos-como-murdoku,comparativa,P1,lanzamiento
que es un murdoku,es,0,sin_medir,/juegos-como-murdoku,comparativa,P0,lanzamiento
donde comprar murdoku,es,0,sin_medir,/juegos-como-murdoku,comparativa,solo-faq,lanzamiento
murdle,es,3600,20,/juegos-como-murdle,comparativa,P1,mes-2-3
murdle resuelve el crimen,es,1300,22,/juegos-como-murdle,comparativa,P1,mes-2-3
murdle pdf,es,390,sin_medir,/juegos-como-murdle,comparativa,P1,mes-2-3
murdle online,es,170,0,/juegos-como-murdle,comparativa,P1,mes-2-3
murdle espanol,es,70,20,/juegos-como-murdle,comparativa,P1,mes-2-3
murdle espanol online,es,70,0,/juegos-como-murdle,comparativa,P1,mes-2-3
murdle juego,es,40,17,/juegos-como-murdle,comparativa,P1,mes-2-3
murdle en espanol,es,20,0,/juegos-como-murdle,comparativa,P1,mes-2-3
cluedo online,es,480,17,/juegos-de-detectives,hub-categoria,bloqueada-legal,bloqueada
wordle espanol,es,110000,53,-,no-atacar,no-atacar,no-aplica
la palabra del dia juego,es,12100,58,-,no-atacar,no-atacar,no-aplica
cluedoku,es,sin_medir,sin_medir,/juegos-como-murdoku,comparativa,pendiente-medir,mes-2-3
caseoku,es,sin_medir,sin_medir,/juegos-como-murdoku,comparativa,pendiente-medir,mes-2-3
enigmic,es,sin_medir,sin_medir,/juegos-de-detectives,hub-categoria,pendiente-medir,mes-2-3
clues by sam,es,sin_medir,sin_medir,/juegos-diarios,hub-categoria,pendiente-medir,mes-4-6
endless cases,es,sin_medir,sin_medir,/juegos-para-dos,landing-intencion,pendiente-medir,mes-4-6
juegos de logica,es,1600,27,/juegos-de-logica,hub-categoria,P0,lanzamiento
juegos mentales,es,1600,49,/juegos-de-logica,hub-categoria,P2,mes-4-6
juegos de ingenio,es,480,15,/vistazo,jugable,P1,mes-2-3
juegos de logica para adultos,es,390,16,/juegos-de-logica,hub-categoria,P0,lanzamiento
juegos de logica online,es,320,25,/juegos-de-logica,hub-categoria,P0,lanzamiento
juegos de logica gratis,es,260,36,/juegos-de-logica,hub-categoria,P0,lanzamiento
juegos para pensar,es,260,44,/juegos-para-pensar,hub-categoria,P2,mes-4-6
juegos gratis de logica,es,210,30,/juegos-de-logica,hub-categoria,P0,lanzamiento
juegos de logica y razonamiento,es,210,12,/escalafon,guia,P1,mes-2-3
juegos de logica para ninos,es,170,8,/para-profesores,landing-intencion,P1,mes-2-3
juegos de logica para imprimir,es,110,10,/para-imprimir,tienda,P0,lanzamiento
juegos de logica faciles,es,20,0,/vistazo,jugable,P1,mes-2-3
juegos de logica dificiles,es,20,0,/archivo/dificultad/experto,archivo,P1,mes-2-3
juegos de deduccion,es,20,0,/,jugable,P0,lanzamiento
juegos de detectives,es,320,25,/juegos-de-detectives,hub-categoria,P0,lanzamiento
juego de detectives,es,320,24,/juegos-de-detectives,hub-categoria,P0,lanzamiento
juegos de misterio,es,260,18,/juegos-de-misterio,hub-categoria,P1,mes-2-3
juegos de resolver crimenes,es,210,36,/juegos-de-detectives,hub-categoria,P0,lanzamiento
casos para resolver,es,170,16,/archivo,archivo,P0,lanzamiento
juegos de investigacion,es,140,28,/dias/el-interrogatorio,jugable,P1,mes-2-3
misterios para resolver,es,20,sin_medir,/expediente/invertido,jugable,P2,mes-4-6
escape room online gratis,es,720,39,/juegos-de-misterio,hub-categoria,P1,mes-2-3
acertijos,es,8100,41,/acertijos,hub-categoria,P1,mes-2-3
acertijos para ninos,es,2400,22,/para-profesores,landing-intencion,P1,mes-2-3
acertijos para adultos,es,2400,30,/acertijos,hub-categoria,P1,mes-2-3
acertijos con respuesta,es,1900,33,/soluciones,guia,P1,mes-2-3
dificiles acertijos,es,1600,43,/archivo/dificultad/experto,archivo,P1,mes-2-3
acertijos dificiles,es,1300,35,/archivo/dificultad/experto,archivo,P1,mes-2-3
enigmas,es,1300,32,/enigmas,hub-categoria,P1,mes-2-3
acertijos de logica,es,720,27,/acertijos,hub-categoria,P1,mes-2-3
acertijos faciles,es,390,36,/vistazo,jugable,P1,mes-2-3
acertijos de pensamiento lateral,es,260,14,-,no-atacar,no-atacar,no-aplica
enigmas para resolver,es,260,28,/enigmas,hub-categoria,P1,mes-2-3
acertijos para adolescentes,es,90,26,/para-profesores,landing-intencion,P1,mes-2-3
acertijos para imprimir,es,20,sin_medir,/para-imprimir,tienda,P0,lanzamiento
pasatiempos diarios,es,5400,50,/juegos-diarios,hub-categoria,P2,mes-4-6
sudoku diario,es,3600,68,-,no-atacar,no-atacar,no-aplica
juegos diarios,es,2900,37,/juegos-diarios,hub-categoria,P0,lanzamiento
juegos diarios gratis,es,1300,28,/juegos-diarios,hub-categoria,P0,lanzamiento
como se juega al sudoku,es,1000,23,/juegos-como-murdoku/como-se-juega,guia,solo-faq,lanzamiento
juego diario,es,480,56,/juegos-diarios,hub-categoria,P2,mes-4-6
juego diario gratis,es,390,55,/juegos-diarios,hub-categoria,P2,mes-4-6
juego del dia,es,170,64,/juegos-diarios,hub-categoria,P2,mes-4-6
puzzle diario,es,70,17,/archivo,archivo,P1,lanzamiento
reto diario,es,40,24,/juegos-diarios,hub-categoria,P2,mes-4-6
pasatiempos,es,27100,61,/para-medios,b2b,B2B-no-SEO,mes-4-6
pasatiempos el pais,es,22200,37,/para-medios,b2b,B2B-no-SEO,mes-4-6
pasatiempos gratis,es,12100,61,/para-medios,b2b,B2B-no-SEO,mes-4-6
el pais pasatiempos,es,6600,sin_medir,/para-medios,b2b,B2B-no-SEO,mes-4-6
pasatiempos online,es,6600,67,/para-medios,b2b,B2B-no-SEO,mes-4-6
20 minutos pasatiempos,es,2900,31,/para-medios,b2b,B2B-no-SEO,mes-4-6
la vanguardia pasatiempos,es,1300,42,/para-medios,b2b,B2B-no-SEO,mes-4-6
abc pasatiempos,es,1000,32,/para-medios,b2b,B2B-no-SEO,mes-4-6
pasatiempos para imprimir,es,320,19,/para-imprimir,tienda,P0,lanzamiento
pasatiempos para ninos,es,90,13,/para-profesores,landing-intencion,P1,mes-2-3
recursos para profesores,es,50,25,/para-profesores,landing-intencion,P1,mes-2-3
juegos para dos personas online,es,260,69,/juegos-para-dos,landing-intencion,P2,mes-4-6
juegos online sin descargar,es,390,88,/juegos-como-murdoku/sin-descargar,landing-intencion,no-atacar,no-aplica
sudoku de asesinatos,es,sin_medir,sin_medir,/juegos-como-murdoku/como-se-juega,guia,pendiente-medir,lanzamiento
juego de asesinatos,es,sin_medir,sin_medir,/escena,jugable,pendiente-medir,mes-2-3
quien es el asesino,es,sin_medir,sin_medir,/juegos-de-detectives,hub-categoria,pendiente-medir,lanzamiento
resolver crimenes,es,sin_medir,sin_medir,/dias/el-interrogatorio,jugable,pendiente-medir,mes-2-3
rompecabezas de logica,es,sin_medir,sin_medir,/reglas/expediente,guia,pendiente-medir,mes-2-3
retos de logica,es,sin_medir,sin_medir,/dias,hub-categoria,pendiente-medir,mes-2-3
pasatiempos para adultos,es,sin_medir,sin_medir,/archivo/dificultad/experto,archivo,pendiente-medir,mes-2-3
juegos tipo wordle,es,sin_medir,sin_medir,/juegos-diarios,hub-categoria,pendiente-medir,lanzamiento
